id;attr_value;unit_of_measure;value_from;value_to
1;Rubber Checking Account West Virginia;local SQL black;functionalities architect Unbranded Wooden Towels;override District
2;Plastic;markets;Frozen Devolved navigating;Personal Loan Account
3;Product Reactive methodologies;web services;parsing;invoice
4;migration Colorado Cambridgeshire;index;Accountability Cambridgeshire bandwidth;Bedfordshire
5;Engineer bluetooth moderator;bandwidth;French Southern Territories Checking Account black;silver Paradigm drive
6;platforms;Tajikistan Buckinghamshire;compress feed Executive;Avon JSON back-end
7;programming Credit Card Account;Handmade;Personal Loan Account;Self-enabling
8;cross-platform Belize Dollar;circuit;ADP;multi-byte
9;Ridge Auto Loan Account;invoice Colombia invoice;withdrawal;cross-platform Personal Loan Account RSS
10;bluetooth microchip orchestrate;Generic Tasty Metal Cheese;Usability Liaison Swaziland;connect
