id;spec_name;spec_desc;ver_id
1;deposit back up;Concrete Grenada neural;Personal Loan Account
2;Fiji;Cheese Skyway;implementation Gorgeous Soft Chicken
3;Avon Generic Rubber Chicken Singapore Dollar;green;benchmark
4;conglomeration application;optimal Netherlands District;Home Loan Account Beauty
5;Forward visualize Fresh;experiences web-enabled;vortals
6;lavender Clothing Inverse;National Kids;turn-key Shoes
7;Refined Fresh Salad grey Investment Account;Senior Squares;alarm
8;Avon Wyoming IB;alarm SDD;Dobra feed EXE
9;6th generation;Plastic Savings Account transmitting;driver scalable
10;Iceland Wisconsin Engineer;Small;Nevada
